id,R,G,B,std R,std G,std B,,Gray,std Gray,,H,S,V,std H,std S,std V,,L,a,b,std L,std a,std b,,Area [pixels]
1,235.76799440950384,238.34474726298626,224.05637083624504,1.3140572406994016,1.4973984778406912,1.3338886210609961,,235.9454232471465,0.9747253337012539,,70.30701141392966,0.05995442,0.93468528,3.6240570701128867,0.0017765,0.00587215,,93.75389942,-3.288376426741209,6.9997670626601405,0.51048156,0.45300713376411367,0.015260507201639264,,4293.0
2,235.83181924062427,242.25809457255997,225.14814814814815,1.6566838339938488,1.081796869217243,1.667559354068897,,238.38610435592824,0.8274977540481119,,83.1441882133706,0.0710194,0.95003174,4.5282390987203,0.00692944,0.00424234,,94.7186254,-4.987887258327504,7.561146051712086,0.32797185,0.11149842080216603,0.8848439361759148,,4293.0
3,239.92522711390635,244.5390170044258,224.73212205916607,2.86488161735752,2.3596259801730453,2.5945857533171734,,240.90150780340085,1.6552201028770779,,74.84136967155835,0.08157648,0.95897654,2.368408269843938,0.0015627,0.00925344,,95.59739293,-4.806894945259728,9.0,0.79772926,0.39473471164065344,0.0,,4293.0
4,236.9906825064058,240.08315863032846,225.52247845329606,1.7797177112309692,1.335542576510243,1.476509191254987,,237.4985907290939,0.9623405641336296,,72.36245050081529,0.06102228,0.94150258,3.977927307682747,0.00216417,0.00523742,,94.31852126,-3.5481015606801805,6.986955508968094,0.52275961,0.49768086145654605,0.17486443353253345,,4293.0
5,236.27300256231075,241.93477754484044,223.31959003028186,1.7714800005249434,1.1611116339717575,1.820088903000972,,238.11977544840434,0.8877760118340394,,79.34544607500582,0.0769223,0.94876383,4.727582442334671,0.00744486,0.00455338,,94.69213448,-4.987654320987659,8.313766596785456,0.34382276,0.11042310999998818,0.9428530672323328,,4293.0
6,239.5737246680643,222.00535755881668,208.89028651292801,2.333179397066443,2.2509090109914194,2.3856725921882713,,225.7631812252504,1.5186937654807418,,25.37293268110878,0.12814934,0.9395048,1.438217085551536,0.00608879,0.00914972,,89.58331621,3.742138364779862,8.428604705334266,0.77647474,0.7023217245354814,0.49487646125027246,,4293.0
7,237.77684602841836,220.54973212205917,208.36850687165153,2.2226529192281794,2.184833913465633,2.283281795571687,,224.3119795015141,1.4677228811544585,,24.502212904728626,0.1234778,0.93245822,2.2808425961434375,0.00475382,0.00871629,,89.02317041,3.6536221756347516,7.905660377358487,0.74194022,0.9318666942193053,0.4125879905532853,,4293.0
8,240.0775681341719,216.0775681341719,205.65362217563475,2.967294738410457,2.967294738410457,3.0736717070429176,,222.06523829489865,1.9859040097591572,,18.423945958537153,0.14348118,0.94148066,0.8174116107044171,0.00384651,0.01163645,,88.04108832,6.78802702073142,8.21197297926858,1.01616722,0.4087058053522082,0.4087058053522082,,4293.0
9,243.0298159795015,224.41043559282554,210.42976939203353,2.755769567779083,2.75012705317925,2.7206312670826036,,228.38383438155137,1.8387966331335055,,25.94362916375495,0.13395541,0.9530581,0.560846556897733,0.00295222,0.01080694,,90.49770945,4.016771488469601,8.998602375960871,0.93722034,0.18741716258806682,0.03735867618343457,,4293.0
10,241.662939669229,217.87770789657583,207.69042627533193,2.2603270626885874,1.917030266347458,1.976426205314513,,223.82814209177732,1.331846573424073,,18.347076636384813,0.14094079,0.9476978,0.996482961713559,0.00327632,0.00886403,,88.63622039,6.8264616818075865,8.066154204518995,0.6644352,0.49824148085676995,0.2485514549211967,,4293.0
